origin,destination,packages
4,33,2878
4,19,2853
4,20,1505
4,14,3745
4,6,1406
4,16,3633
4,8,2973
4,13,4868
4,22,2796
4,30,3910
4,18,3848
4,12,2586
4,29,2782
4,10,996
4,3,2423
4,11,2764
4,17,5517
4,7,1991
4,25,4772
4,9,1611
4,31,2377
4,5,3341
4,32,2598
4,1,90
4,26,3898
4,0,3366
4,34,2532
4,15,2536
4,23,1448
4,27,1146
4,2,1645
4,28,1509
4,21,1953
4,24,3678
33,4,2877
33,19,2287
33,20,669
33,14,1761
33,6,973
33,16,4540
33,8,1078
33,13,1488
33,22,1218
33,30,1928
33,18,1515
33,12,2113
33,29,891
33,10,3470
33,3,782
33,11,1270
33,17,6121
33,25,2020
33,9,219
33,31,151
33,5,1092
33,32,777
33,1,224
33,26,3475
33,0,3175
33,34,539
33,15,1643
33,23,362
33,27,485
33,2,1379
33,28,363
33,21,422
33,24,1095
19,4,2853
19,33,2287
19,20,1213
19,14,1821
19,6,619
19,8,1363
19,13,1163
19,22,1679
19,30,262
19,18,1397
19,29,859
19,10,510
19,3,840
19,11,466
19,17,4
19,7,520
19,25,2519
19,9,1414
19,31,493
19,5,489
19,32,530
19,26,1760
19,0,338
19,34,1067
19,15,1033
19,23,361
19,27,112
19,2,182
19,28,364
19,21,847
19,24,1784
20,4,1641
20,33,661
20,19,1229
20,14,978
20,6,382
20,16,431
20,8,543
20,13,868
20,22,806
20,30,1046
20,18,385
20,12,815
20,29,1069
20,10,690
20,3,833
20,11,464
20,17,1546
20,7,607
20,25,1102
20,9,1394
20,31,621
20,5,222
20,32,926
20,26,2346
20,0,309
20,34,611
20,15,160
20,23,25
20,27,125
20,2,223
20,28,165
20,21,594
20,24,494
14,4,3750
14,33,1756
14,19,1836
14,20,978
14,6,409
14,16,1464
14,8,1067
14,13,1843
14,22,1436
14,30,2740
14,18,1718
14,12,1526
14,29,1758
14,10,1038
14,3,891
14,11,725
14,17,2971
14,7,592
14,25,1764
14,9,13
14,31,1100
14,5,1827
14,32,862
14,26,2797
14,0,1731
14,34,1099
14,15,1168
14,23,358
14,27,210
14,2,705
14,28,156
14,21,561
14,24,1472
6,4,1366
6,33,976
6,19,627
6,20,381
6,14,450
6,16,913
6,8,777
6,13,1542
6,22,1634
6,30,1541
6,18,455
6,12,425
6,29,1028
6,10,776
6,3,472
6,11,623
6,17,1919
6,7,769
6,25,678
6,31,740
6,5,624
6,32,950
6,26,3074
6,0,849
6,34,281
6,15,488
6,23,335
6,27,377
6,2,379
6,28,856
6,21,161
6,24,564
16,4,3631
16,33,4509
16,20,445
16,14,1473
16,6,929
16,8,726
16,13,1986
16,22,1501
16,30,1274
16,18,732
16,29,1494
16,10,1400
16,3,182
16,11,182
16,17,5803
16,25,909
16,31,519
16,5,1456
16,32,1084
16,26,3631
16,0,4
16,34,546
16,15,1385
16,27,364
16,28,182
16,21,646
16,24,820
8,4,3078
8,33,1113
8,19,1355
8,20,536
8,14,1067
8,6,781
8,16,728
8,13,4231
8,22,1444
8,30,1074
8,18,507
8,12,1490
8,29,2313
8,10,502
8,3,4168
8,11,4378
8,17,1630
8,7,2569
8,25,1649
8,9,2119
8,31,863
8,5,471
8,32,2459
8,1,1738
8,26,3111
8,0,1416
8,34,4164
8,15,226
8,23,2573
8,27,3200
8,2,2649
8,28,4385
8,21,879
8,24,971
13,4,4866
13,33,1488
13,19,1163
13,20,868
13,14,1843
13,6,1542
13,16,1985
13,8,4235
13,22,1407
13,30,1831
13,18,1215
13,12,967
13,29,2830
13,10,434
13,3,2518
13,11,3294
13,17,2574
13,7,1439
13,25,2077
13,31,1336
13,5,1638
13,32,1438
13,1,539
13,26,4142
13,0,1743
13,34,2703
13,15,1161
13,23,1792
13,27,1988
13,2,1730
13,28,1579
13,21,1875
13,24,1434
22,4,2795
22,33,1231
22,19,1679
22,20,772
22,14,1436
22,6,1733
22,16,1498
22,8,1445
22,13,1412
22,30,2190
22,18,745
22,12,1031
22,29,1492
22,10,900
22,3,1056
22,11,836
22,17,2368
22,7,766
22,25,1843
22,9,1784
22,31,1318
22,5,738
22,32,2521
22,26,3750
22,0,1346
22,34,1510
22,15,663
22,23,298
22,27,572
22,2,598
22,28,207
22,21,1281
22,24,907
30,4,3927
30,33,1923
30,19,262
30,20,1048
30,14,2722
30,6,1535
30,16,1269
30,8,1092
30,13,1830
30,22,2190
30,18,2428
30,12,1002
30,29,1990
30,3,1186
30,11,1655
30,17,1
30,7,815
30,25,2650
30,9,279
30,31,713
30,5,1465
30,32,1693
30,26,3728
30,34,1364
30,15,1491
30,23,561
30,27,953
30,2,1321
30,28,446
30,21,802
30,24,1643
18,4,3849
18,33,1514
18,19,1396
18,20,386
18,14,1554
18,6,458
18,16,710
18,8,504
18,13,1216
18,22,745
18,30,2428
18,12,716
18,29,977
18,10,2577
18,3,405
18,11,295
18,17,1673
18,25,1061
18,9,876
18,31,282
18,5,1
18,32,319
18,1,13
18,26,1029
18,0,1683
18,34,364
18,15,327
18,28,177
18,21,287
18,24,1538
12,4,2718
12,33,1933
12,20,815
12,14,1344
12,6,425
12,16,1
12,8,1481
12,13,966
12,22,1006
12,30,1002
12,18,714
12,29,892
12,10,910
12,3,928
12,11,2139
12,17,536
12,7,134
12,25,2294
12,9,1037
12,5,284
12,32,456
12,1,425
12,26,1506
12,0,228
12,34,392
12,15,839
12,23,717
12,27,546
12,2,1606
12,28,289
12,24,966
29,4,2627
29,33,904
29,19,859
29,20,1072
29,14,1775
29,6,1032
29,16,1516
29,8,2277
29,13,2834
29,22,1492
29,30,1989
29,18,977
29,12,865
29,10,634
29,3,1381
29,11,1918
29,17,1728
29,7,1241
29,25,1296
29,31,1598
29,5,1432
29,32,1273
29,1,531
29,26,2743
29,0,867
29,34,2193
29,15,1005
29,23,1177
29,27,1165
29,2,1316
29,28,1465
29,21,428
29,24,1017
10,4,1174
10,33,3565
10,19,500
10,20,690
10,14,1013
10,6,667
10,16,1423
10,8,502
10,13,432
10,22,999
10,18,2575
10,12,910
10,29,634
10,3,2301
10,11,4050
10,17,1
10,25,2762
10,5,1283
10,32,585
10,1,564
10,26,1908
10,0,262
10,34,1201
10,15,1896
10,23,789
10,27,876
10,2,3393
10,28,879
10,21,342
10,24,1721
3,4,2417
3,33,783
3,19,841
3,20,835
3,14,889
