origin,destination,packages
2,15,2878
2,6,3745
2,3,2973
2,5,4868
2,8,2796
2,13,3910
2,12,2782
2,1,2423
2,4,2764
2,7,5517
2,9,4772
2,14,2598
2,10,3898
2,16,2532
2,0,1645
2,11,1509
15,2,2877
15,6,1761
15,3,1078
15,5,1488
15,8,1218
15,13,1928
15,12,891
15,1,782
15,4,1270
15,7,6121
15,9,2020
15,14,777
15,10,3475
15,16,539
15,0,1379
15,11,363
6,2,3750
6,15,1756
6,3,1067
6,5,1843
6,8,1436
6,13,2740
6,12,1758
6,1,891
6,4,725
6,7,2971
6,9,1764
6,14,862
6,10,2797
6,16,1099
6,0,705
6,11,156
3,2,3078
3,15,1113
3,6,1067
3,5,4231
3,8,1444
3,13,1074
3,12,2313
3,1,4168
3,4,4378
3,7,1630
3,9,1649
3,14,2459
3,10,3111
3,16,4164
3,0,2649
3,11,4385
5,2,4866
5,15,1488
5,6,1843
5,3,4235
5,8,1407
5,13,1831
5,12,2830
5,1,2518
5,4,3294
5,7,2574
5,9,2077
5,14,1438
5,10,4142
5,16,2703
5,0,1730
5,11,1579
8,2,2795
8,15,1231
8,6,1436
8,3,1445
8,5,1412
8,13,2190
8,12,1492
8,1,1056
8,4,836
8,7,2368
8,9,1843
8,14,2521
8,10,3750
8,16,1510
8,0,598
8,11,207
13,2,3927
13,15,1923
13,6,2722
13,3,1092
13,5,1830
13,8,2190
13,12,1990
13,1,1186
13,4,1655
13,7,1
13,9,2650
13,14,1693
13,10,3728
13,16,1364
13,0,1321
13,11,446
12,2,2627
12,15,904
12,6,1775
12,3,2277
12,5,2834
12,8,1492
12,13,1989
12,1,1381
12,4,1918
12,7,1728
12,9,1296
12,14,1273
12,10,2743
12,16,2193
12,0,1316
12,11,1465
1,2,2417
1,15,783
1,6,889
1,3,4179
1,5,2520
1,8,1056
1,13,1185
1,12,1378
1,4,6083
1,9,648
1,14,1411
1,10,2709
1,16,5759
1,0,3584
1,11,2694
4,2,2762
4,15,1415
4,6,727
4,3,4439
4,5,3293
4,8,1017
4,13,1666
4,12,1901
4,1,6167
4,9,907
4,14,1198
4,10,3716
4,16,5164
4,0,6995
4,11,2616
7,2,5515
7,15,6126
7,6,2774
7,3,1646
7,5,2579
7,8,2369
7,12,1739
7,9,1723
7,14,1541
7,10,5364
7,11,17
9,2,4769
9,15,2019
9,6,1764
9,3,1655
9,5,2076
9,8,1840
9,13,2650
9,12,1296
9,1,648
9,4,907
9,7,1721
9,14,1121
9,10,2045
9,16,546
9,0,182
9,11,357
14,2,2597
14,15,766
14,6,861
14,3,2641
14,5,1494
14,8,2749
14,13,1692
14,12,1269
14,1,1410
14,4,1197
14,7,1541
14,9,1122
14,10,4669
14,16,1877
14,0,963
14,11,1209
10,2,3665
10,15,3476
10,6,2972
10,3,2967
10,5,4148
10,8,3754
10,13,3566
10,12,2679
10,1,2717
10,4,3552
10,7,5376
10,9,2006
10,14,4875
10,16,2629
10,0,2698
10,11,1439
16,2,2536
16,15,538
16,6,1097
16,3,4174
16,5,2702
16,8,1511
16,13,1350
16,12,2214
16,1,5516
16,4,5261
16,9,546
16,14,1874
16,10,2636
16,0,2363
16,11,3828
0,2,1464
0,15,1379
0,6,707
0,3,2363
0,5,1729
0,8,571
0,13,1497
0,12,1322
0,1,3578
0,4,7187
0,9,182
0,14,988
0,10,2851
0,16,2366
0,11,2150
11,2,1517
11,15,363
11,6,155
11,3,4574
11,5,1583
11,8,208
11,13,446
11,12,1466
11,1,2683
11,4,2624
11,7,17
11,9,358
11,14,1204
11,10,1441
11,16,3813
11,0,1966
